checking_account,duration,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,risk,age_group,credit_amount_group,duration_group,credit_per_month,employment_stability,savings_status,credit_history_simple,age_to_credit_ratio,debt_burden,credit_to_duration_ratio,young_high_credit_flag,high_exposure_flag,critical_high_amount_flag,no_checking_high_credit_flag,checking_risk,history_risk,savings_risk,combined_account_risk,duration_history_interaction,amount_checking_interaction
A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,65+,Low,0-12,194.83333333333334,7+ years,unknown,other_credits,0.05731394354148845,292.25,194.83333333333334,0,0,0,0,3,1,2,6,6,3507
A12,48,A32,A43,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,0,<25,High,37-48,123.97916666666667,1-4 years,little,delayed_payments,0.0036968576709796672,2975.5,123.97916666666667,1,1,0,0,2,1,3,6,48,11902
A14,12,A34,A46,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,45-55,Medium-Low,0-12,174.66666666666666,4-7 years,little,other_credits,0.023377862595419848,1048.0,174.66666666666666,0,0,0,0,0,1,3,4,12,0
A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,35-45,High,37-48,187.66666666666666,4-7 years,little,delayed_payments,0.005709210860187769,3941.0,187.66666666666666,0,1,0,0,3,1,3,7,42,23646
A11,24,A33,A40,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,0,45-55,High,13-24,202.91666666666666,1-4 years,little,critical_account,0.010882956878850103,1623.3333333333333,202.91666666666666,0,0,1,0,3,2,3,8,48,14610
A14,36,A32,A46,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,25-35,High,25-36,251.52777777777777,1-4 years,unknown,delayed_payments,0.003865267807840972,4527.5,251.52777777777777,0,1,0,1,0,1,2,3,36,0
A14,24,A32,A42,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,45-55,Medium-High,13-24,118.125,7+ years,quite rich,delayed_payments,0.01869488536155203,945.0,118.125,0,0,0,0,0,1,1,2,24,0
A12,36,A32,A41,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,25-35,High,25-36,193.0,1-4 years,little,delayed_payments,0.005037420840529648,3474.0,193.0,0,1,0,0,2,1,3,6,36,13896
A14,12,A32,A43,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,55-65,Medium-High,0-12,254.91666666666666,4-7 years,rich,delayed_payments,0.019941157240928407,1529.5,254.91666666666666,0,0,0,0,0,1,0,1,12,0
A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,0,25-35,High,25-36,174.46666666666667,unemployed,little,other_credits,0.005349636988918609,1308.5,174.46666666666667,1,1,0,0,2,1,3,6,30,10468
A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,0,<25,Low,0-12,107.91666666666667,<1 year,little,delayed_payments,0.019305019305019305,431.6666666666667,107.91666666666667,0,0,0,0,2,1,3,6,12,2590
A11,48,A32,A49,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,0,<25,High,37-48,89.75,<1 year,little,delayed_payments,0.005571030640668524,1436.0,89.75,1,1,0,0,3,1,3,7,48,12924
A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,<25,Medium-Low,0-12,130.58333333333334,1-4 years,little,delayed_payments,0.014039566049776643,1567.0,130.58333333333334,0,0,0,0,2,1,3,6,12,3134
A11,24,A34,A40,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,0,55-65,Low,13-24,49.958333333333336,7+ years,little,other_credits,0.05004170141784821,299.75,49.958333333333336,0,0,0,0,3,1,3,7,24,3597
A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,25-35,Medium-Low,13-24,93.53333333333333,1-4 years,little,delayed_payments,0.019957234497505347,701.5,93.53333333333333,0,0,0,0,3,1,3,7,15,4209
A11,24,A32,A43,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,0,25-35,Low,13-24,53.416666666666664,1-4 years,moderate,delayed_payments,0.0249609984399376,320.5,53.416666666666664,0,0,0,0,3,1,2,6,24,3846
A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,45-55,Medium-High,13-24,101.0,7+ years,unknown,other_credits,0.021864686468646866,606.0,101.0,0,0,0,0,0,1,2,3,24,0
A11,30,A30,A49,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,<25,High,25-36,269.06666666666666,<1 year,unknown,no_credits,0.0030971258671952428,4036.0,269.06666666666666,1,1,0,0,3,0,2,5,0,24216
A12,24,A32,A41,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,0,35-45,High,13-24,524.125,7+ years,little,delayed_payments,0.003497893314253915,3144.75,524.125,0,0,0,0,2,1,3,6,24,25158
